datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu
2020-04-29,7592,4716,235,246475
2020-04-30,7695,4918,242,253871
2020-05-01,7750,5043,250,258368
2020-05-02,7768,5138,251,262253
2020-05-03,7794,5265,254,266134
2020-05-04,7832,5429,259,273890
2020-05-05,7909,5600,262,283273
2020-05-06,7987,5779,265,291325
2020-05-07,8044,5947,269,298924
2020-05-08,8090,6017,274,303434
2020-05-09,8108,6090,277,307222
2020-05-10,8136,6142,280,311274
2020-05-11,8189,6271,282,319083
2020-05-12,8234,6361,285,327838
2020-05-13,8284,6496,289,335525
2020-05-14,8366,6591,292,342427
2020-05-15,8421,6671,294,349217
2020-05-16,8471,6713,295,353414
2020-05-17,8491,6761,297,356967
2020-05-18,8602,6851,300,364425
2020-05-19,8664,6903,302,372761
2020-05-20,8738,6990,307,380279
2020-05-21,8771,7078,310,387569
2020-05-22,8830,7138,312,395317
2020-05-23,8907,7177,313,400376
2020-05-24,8972,7207,314,404225
2020-05-25,9019,7291,315,411733
2020-05-26,9067,7366,316,418974
2020-05-27,9104,7447,316,425820
2020-05-28,9158,7493,318,431833
2020-05-29,9214,7555,318,437946
2020-05-30,9248,7592,318,441494
2020-05-31,9286,7611,318,443635
2020-06-01,9320,7683,320,449356
2020-06-02,9382,7753,321,455834
2020-06-03,9456,7829,322,461147
2020-06-04,9514,7880,325,466158
2020-06-05,9549,7946,325,470331
2020-06-06,9587,7966,325,472481
2020-06-07,9648,7987,326,474608
2020-06-08,9717,8037,326,479292
2020-06-09,9771,8072,327,483844
2020-06-10,9844,8144,328,487912
2020-06-11,9906,8185,329,491651
2020-06-12,9958,8240,330,495377
2020-06-13,10011,8260,330,497029
2020-06-14,10044,8271,331,498150
2020-06-15,10084,8311,332,501823
2020-06-16,10131,8364,333,505846
2020-06-17,10182,8419,334,509882
2020-06-18,10300,8469,336,514285
2020-06-19,10426,8522,337,517859
2020-06-20,10468,8536,338,519558
2020-06-21,10518,8553,339,520871
2020-06-22,10582,8607,340,524781
2020-06-23,10671,8658,340,529348
2020-06-24,10798,8736,344,533635
2020-06-25,10891,8818,344,537682
2020-06-26,11059,8893,345,542215
2020-06-27,11319,8913,346,544769
2020-06-28,11624,8930,346,547192
2020-06-29,11825,8981,346,551677
2020-06-30,11974,9038,347,556089
2020-07-01,12065,9157,347,560682
2020-07-02,12197,9246,348,565347
2020-07-03,12336,9330,348,570456
2020-07-04,12457,9372,350,572143
2020-07-05,12532,9398,352,573667
2020-07-06,12583,9435,353,575381
2020-07-07,12701,9535,353,579540
2020-07-08,12830,9771,353,584946
2020-07-09,12935,9902,354,589628
2020-07-10,13076,10048,354,594961
2020-07-11,13129,10186,354,597282
2020-07-12,13188,10360,355,599069
2020-07-13,13252,10625,356,603493
2020-07-14,13355,10780,358,608295
2020-07-15,13489,10891,358,612989
2020-07-16,13626,11021,358,617719
2020-07-17,13754,11196,360,622446
2020-07-18,13866,11267,360,624780
2020-07-19,13957,11313,361,626610
2020-07-20,14126,11426,361,632395
2020-07-21,14333,11531,363,638484
2020-07-22,14578,11633,365,645093
2020-07-23,14809,11718,366,650650
2020-07-24,15087,11792,369,656888
2020-07-25,15219,11849,371,660225
2020-07-26,15333,11903,372,662006
2020-07-27,15527,12022,374,668533
2020-07-28,15804,12128,376,676410
2020-07-29,16078,12243,378,683902
2020-07-30,16332,12385,380,691512
2020-07-31,16563,12561,382,699690
2020-08-01,16686,12632,384,704393
2020-08-02,16787,12717,386,707040
2020-08-03,16995,12927,388,714759
2020-08-04,17282,13141,390,723152
2020-08-05,17522,13324,391,730078
2020-08-06,17737,13539,392,737427
2020-08-07,18060,13790,392,746613
2020-08-08,18233,13902,392,752101
2020-08-09,18355,13958,393,755016
2020-08-10,18495,14249,393,761466
2020-08-11,18783,14495,395,769920
2020-08-12,19072,14718,395,777678
2020-08-13,19401,14932,396,784871
2020-08-14,19692,15160,398,792664
2020-08-15,19889,15261,400,797606
2020-08-16,20010,15335,402,800478
2020-08-17,20201,15602,406,807670
2020-08-18,20482,15866,406,815269
2020-08-19,20795,16126,409,822815
2020-08-20,21041,16352,412,831033
2020-08-21,21545,16597,415,840715
2020-08-22,21779,16711,415,845828
2020-08-23,21915,16793,418,848225
2020-08-24,22174,17062,419,855621
2020-08-25,22538,17323,421,864378
2020-08-26,22932,17585,422,873232
2020-08-27,23282,17893,422,882425
2020-08-28,23767,18142,422,893215
2020-08-29,24087,18261,425,899783
2020-08-30,24361,18347,426,903727
2020-08-31,24617,18658,427,913080
2020-09-01,25116,18932,428,924205
2020-09-02,25761,19237,428,936003
2020-09-03,26436,19578,431,947540
2020-09-04,27233,19902,434,961150
2020-09-05,27738,20057,439,968616
2020-09-06,28148,20169,442,973151
2020-09-07,28709,20566,444,984728
2020-09-08,29870,20883,449,1000823
2020-09-09,31028,21260,452,1016297
2020-09-10,32410,21791,457,1032595
2020-09-11,33853,22625,460,1051787
2020-09-12,35390,23306,466,1064844
2020-09-13,36181,23963,471,1071934
2020-09-14,37209,24901,477,1089427
2020-09-15,38882,25407,487,1109730
2020-09-16,41015,25734,494,1130190
2020-09-17,44140,26520,501,1153618
2020-09-18,46248,27482,513,1175188
2020-09-19,48294,28449,521,1190238
2020-09-20,49278,29561,527,1200417
2020-09-21,50754,31023,542,1219822
2020-09-22,53142,31896,552,1242203
2020-09-23,55448,32590,573,1264576
2020-09-24,58356,33954,583,1287723
2020-09-25,61303,35669,593,1310847
2020-09-26,63284,37147,609,1326232
2020-09-27,64588,38989,625,1336692
2020-09-28,65872,40717,636,1348910
2020-09-29,67835,42203,656,1367213
2020-09-30,70761,43284,671,1388293
2020-10-01,74257,44922,698,1412199
2020-10-02,78052,46966,719,1435829
2020-10-03,80607,48782,732,1451030
2020-10-04,82447,50647,764,1458796
2020-10-05,85565,53053,791,1476512
2020-10-06,90025,54680,822,1499500
2020-10-07,95363,55844,868,1523464
2020-10-08,100757,56994,894,1548515
2020-10-09,109374,58972,954,1576244
2020-10-10,114010,61289,1005,1594313
2020-10-11,117114,63789,1047,1605815
2020-10-12,121423,66981,1113,1627844
2020-10-13,129747,69023,1161,1659407
2020-10-14,139291,70498,1222,1694193
2020-10-15,149013,73325,1275,1728969
2020-10-16,160117,77555,1349,1767688
2020-10-17,168829,81339,1424,1796964
2020-10-18,173888,85446,1497,1814203
2020-10-19,181964,90116,1598,1845317
2020-10-20,193948,90663,1690,1885861
2020-10-21,208916,91083,1808,1930879
2020-10-22,223071,91435,1908,1976869
2020-10-23,238323,91651,1971,1976869
